Movie_Name,Release_Year,User_votes,Rating,Metascore,Runtime_(Mins),Certified,collection(M),Genre,Lead_actor,Directed_by
The Kissing Booth,2018,"85,743",5.9,,105,16,,Comedy,Joey King,Vince Marcello
Blockers,2018,"80,746",6.2,69,102,Not Rated,$60.31 ,Comedy,Leslie Mann,Kay Cannon
The Vanishing,2018,"18,410",5.9,64,107,R,,Drama,Peter Mullan,Kristoffer Nyholm
12 Strong,2018,"83,727",6.5,54,130,A,$45.82 ,Action,Chris Hemsworth,Nicolai Fuglsig
The Girl in the Spider's Web,2018,"48,630",6.1,43,115,A,$14.84 ,Action,Claire Foy,Fede Alvarez
Ralph Breaks the Internet,2018,"164,196",7,71,112,U,$201.09 ,Animation,John C. Reilly,Phil Johnston
Beoning,2018,"66,795",7.5,90,148,UA,$0.72 ,Drama,Yoo Ah-in,Lee Chang-dong
To All the Boys I've Loved Before,2018,"110,381",7,64,99,13,,Comedy,Lana Condor,Susan Johnson
The Perfection,2018,"44,848",6.2,60,90,,,Drama,Marie Maskell,Richard Shepard
Robin Hood,2018,"75,195",5.3,32,116,UA,$30.82 ,Action,Taron Egerton,Otto Bathurst
Pacific Rim: Uprising,2018,"119,171",5.6,44,111,UA,$59.87 ,Action,John Boyega,Steven S. DeKnight
Roma,2018,"160,479",7.7,96,135,16,,Drama,Yalitza Aparicio,Alfonso Cuarón
Rampage,2018,"170,984",6.1,45,107,UA,$101.03 ,Action,Dwayne Johnson,Brad Peyton
Werk ohne Autor,2018,"22,474",7.7,68,189,R,$1.30 ,Biography,Tom Schilling,Florian Henckel von Donnersmarck
High Life,2018,"36,889",5.8,77,113,R,$1.23 ,Adventure,Robert Pattinson,Claire Denis
How It Ends,2018,"54,290",5,36,113,16,,Action,Theo James,David M. Rosenthal
Siberia,2018,"16,000",4.3,34,104,A,,Crime,Keanu Reeves,Matthew Ross
Mile 22,2018,"81,403",6.1,38,94,A,$36.11 ,Action,Mark Wahlberg,Peter Berg
Truth or Dare,2018,"57,686",5.2,35,100,A,$41.41 ,Horror,Lucy Hale,Jeff Wadlow
Hunter Killer,2018,"65,124",6.6,43,121,UA,$15.77 ,Action,Gerard Butler,Donovan Marsh
Dragged Across Concrete,2018,"47,586",6.9,60,158,A,,Action,Mel Gibson,S. Craig Zahler
Mortal Engines,2018,"128,422",6.1,44,128,UA,$15.95 ,Action,Hera Hilmar,Christian Rivers
Overlord,2018,"100,760",6.6,60,110,18,$21.70 ,Action,Jovan Adepo,Julius Avery
Adrift,2018,"57,878",6.6,56,96,UA,$31.45 ,Action,Shailene Woodley,Baltasar Kormákur
Tumbbad,2018,"50,645",8.2,,104,A,,Drama,Sohum Shah,Rahi Anil Barve
Apostle,2018,"54,281",6.3,62,130,18,,Drama,Dan Stevens,Gareth Evans
Leave No Trace,2018,"60,840",7.1,88,109,PG,$6.05 ,Adventure,Thomasin McKenzie,Debra Granik
Wij,2018,"2,915",5.6,,100,,,Drama,Aimé Claeys,Rene Eller
A Futile and Stupid Gesture,2018,"16,695",6.7,55,101,,,Biography,Frank Gingerich,David Wain
Shoplifters,2018,"78,237",7.9,93,121,A,$3.31 ,Crime,Lily Franky,Hirokazu Koreeda
Ghostland,2018,"34,013",6.4,44,91,,,Drama,Crystal Reed,Pascal Laugier
Halloween,2018,"157,308",6.5,67,106,A,$159.34 ,Crime,Jamie Lee Curtis,David Gordon Green
Rocketman,2019,"177,641",7.3,69,121,A,$96.37 ,Biography,Toni Collette,Ari Aster
Yesterday,2019,"155,700",6.8,55,116,UA,$73.29 ,Comedy,Rami Malek,Bryan Singer
The Addams Family,2019,"41,504",5.8,46,86,U,$100.04 ,Animation,Emily Blunt,John Krasinski
Escape Room,2019,"125,245",6.4,48,99,A,$57.01 ,Action,Chadwick Boseman,Ryan Coogler
The Art of Racing in the Rain,2019,"32,828",7.5,43,109,UA 7+,$25.50 ,Comedy,Constance Wu,Jon M. Chu
Toy Story 4,2019,"254,039",7.7,84,100,U,$434.04 ,Animation,Robert Downey Jr.,Anthony Russo
It Chapter Two,2019,"269,903",6.5,58,169,A,$211.59 ,Drama,Tye Sheridan,Steven Spielberg
Hustlers,2019,"101,690",6.3,79,110,A,$104.96 ,Comedy,Tom Cruise,Christopher McQuarrie
The Lodge,2019,"49,507",6,64,108,18,,Drama,Steve Carell,Felix van Groeningen
Midway,2019,"87,256",6.7,47,138,A,$56.85 ,Action,Shameik Moore,Bob Persichetti
Last Christmas,2019,"82,555",6.5,50,103,UA,$35.15 ,Comedy,Saoirse Ronan,Josie Rourke
Dark Phoenix,2019,"189,921",5.7,43,113,UA,$65.85 ,Action,Chris Pratt,J.A. Bayona
Booksmart,2019,"121,408",7.1,84,102,R,$22.68 ,Comedy,Jessica Brown Findlay,Mike Newell
Angel Has Fallen,2019,"99,852",6.4,45,121,UA,$69.03 ,Action,Paul Rudd,Peyton Reed
Cold Pursuit,2019,"70,794",6.2,57,119,A,$32.14 ,Action,Tim Blake Nelson,Ethan Coen
The Dead Don't Die,2019,"79,969",5.4,53,104,18,$6.56 ,Comedy,Jennifer Lawrence,Francis Lawrence
Frozen II,2019,"175,797",6.8,64,103,U,$477.37 ,Animation,Matt Dillon,Lars von Trier
Rambo: Last Blood,2019,"100,519",6.1,26,89,A,$18.87 ,Action,Viggo Mortensen,Peter Farrelly
Triple Frontier,2019,"131,038",6.4,61,125,18,,Action,Benicio Del Toro,Stefano Sollima
Hellboy,2019,"91,970",5.2,31,120,R,$21.90 ,Action,Anna Kendrick,Paul Feig
Klaus,2019,"160,354",8.2,65,96,7,,Animation,Ryan Reynolds,David Leitch
The Peanut Butter Falcon,2019,"92,120",7.6,70,97,16,$13.12 ,Adventure,Christian Bale,Adam McKay
Fighting with My Family,2019,"82,694",7.1,68,108,A,$22.96 ,Biography,Chloë Grace Moretz,Luca Guadagnino
Fractured,2019,"77,978",6.4,36,99,16,,Thriller,Sandra Bullock,Gary Ross
Godzilla: King of the Monsters,2019,"185,570",6,48,132,UA,$110.50 ,Action,Lady Gaga,Bradley Cooper
Charlie's Angels,2019,"74,862",4.9,52,118,UA,,Action,Eddie Redmayne,David Yates
Vivarium,2019,"61,216",5.8,64,97,7,,Horror,Natalie Portman,Alex Garland
Pokémon: Detective Pikachu,2019,"165,857",6.5,53,104,UA,$144.11 ,Action,Jason Momoa,James Wan
Richard Jewell,2019,"89,299",7.5,68,131,A,,Biography,Hailee Steinfeld,Travis Knight
Zombieland: Double Tap,2019,"182,816",6.7,55,99,A,$73.12 ,Action,Alden Ehrenreich,Ron Howard
Curiosa,2019,"2,573",5.4,,107,,,Biography,Sunny Suljic,Jonah Hill
How to Train Your Dragon: The Hidden World,2019,"131,969",7.4,71,104,U,$160.80 ,Animation,Olivia Colman,Yorgos Lanthimos
The Poison Rose,2019,"10,009",4.7,26,98,R,,Crime,Demián Bichir,Corin Hardy
The Highwaymen,2019,"93,354",6.9,58,132,16,,Biography,Gerard Butler,Christian Gudegast
The Dirt,2019,"50,874",7,39,107,,,Biography,Viola Davis,Steve McQueen
Georgetown,2019,"4,199",6.2,49,99,R,,Biography,Jason Statham,Jon Turteltaub
A Dog's Journey,2019,"25,653",7.4,43,109,U,$22.78 ,Adventure,Sandra Bullock,Susanne Bier
Dreamland,2019,"6,925",5.8,57,98,R,,Drama,Tom Hardy,Ruben Fleischer
In the Shadow of the Moon,2019,"54,594",6.2,48,115,16,,Action,Dakota Johnson,James Foley
The Two Popes,2019,"125,665",7.6,75,125,16,,Biography,John David Washington,Spike Lee
"Extremely Wicked, Shockingly Evil and Vile",2019,"96,021",6.7,52,110,R,,Biography,Andrew Garfield,David Robert Mitchell
A Rainy Day in New York,2019,"45,628",6.5,38,92,PG-13,,Comedy,Denzel Washington,Antoine Fuqua
The Goldfinch,2019,"24,231",6.4,40,149,A,$5.33 ,Drama,Jason Bateman,John Francis Daley
The Informer,2019,"38,418",6.6,61,113,A,,Action,Nicolas Cage,Panos Cosmatos
Dark Waters,2019,"90,494",7.6,73,126,PG-13,,Biography,Taraji P. Henson,Tyler Perry
1BR,2019,"13,644",5.8,56,90,,,Drama,John Cho,Aneesh Chaganty
Saint Maud,2019,"39,226",6.7,83,84,R,,Drama,Zain Al Rafeea,Nadine Labaki
Jexi,2019,"28,449",6,39,84,R,,Comedy,Zoey Deutch,Claire Scanlon
I See You,2019,"50,947",6.8,65,98,R,,Crime,Craig T. Nelson,Brad Bird
Guns Akimbo,2019,"63,333",6.3,42,98,A,,Action,Sofia Boutella,Gaspar Noé
The Rental,2020,"33,345",5.7,62,88,A,,Drama,Dan Stevens,Dave Franco
Cowboys,2020,"1,463",6.4,66,86,,,Drama,Steve Zahn,Anna Kerrigan
Inheritance,2020,"15,931",5.5,31,111,,,Drama,Lily Collins,Vaughn Stein
Mank,2020,"76,576",6.8,79,131,16,,Biography,Gary Oldman,David Fincher
The Call of the Wild,2020,"50,830",6.7,48,100,PG,$62.34 ,Adventure,Harrison Ford,Chris Sanders
Pieces of a Woman,2020,"50,981",7,66,126,18,,Drama,Vanessa Kirby,Kornél Mundruczó
The Way Back,2020,"47,713",6.7,66,108,R,,Drama,Ben Affleck,Gavin O'Connor
The Trial of the Chicago 7,2020,"179,501",7.7,76,129,18,,Drama,Eddie Redmayne,Aaron Sorkin
The Empty Man,2020,"31,214",6.2,,137,18,,Drama,James Badge Dale,David Prior
Holidate,2020,"69,767",6.1,44,104,16,,Comedy,Emma Roberts,John Whitesell
Run Sweetheart Run,2020,"4,650",5.4,51,104,A,,Horror,Ella Balinska,Shana Feste
The Wrong Missy,2020,"40,767",5.7,33,90,18,,Comedy,David Spade,Tyler Spindel
Trolls World Tour,2020,"24,232",6.1,51,91,U,,Animation,Anna Kendrick,Walt Dohrn
I Care a Lot,2020,"134,512",6.3,66,118,18,,Comedy,Rosamund Pike,J Blakeson
Alone,2020,"21,640",6.2,70,98,18,,Drama,Jules Willcox,John Hyams
Zola,2020,"14,984",6.5,76,86,R,,Comedy,Taylour Paige,Janicza Bravo
The Midnight Sky,2020,"84,386",5.6,58,118,13,,Adventure,George Clooney,George Clooney
Rebecca,2020,"43,073",6,46,123,18,,Drama,Lily James,Ben Wheatley
News of the World,2020,"88,333",6.8,73,118,16,,Action,Tom Hanks,Paul Greengrass
Monster Hunter,2020,"60,546",5.2,47,103,UA,$15.16 ,Action,Milla Jovovich,Paul W.S. Anderson
Bad Boys for Life,2020,"162,918",6.5,59,124,A,$206.31 ,Action,Will Smith,Adil El Arbi
The Dry,2020,"27,896",6.8,69,117,R,,Crime,Eric Bana,Robert Connolly
The Witches,2020,"42,373",5.3,47,106,U,,Adventure,Anne Hathaway,Robert Zemeckis
Spenser Confidential,2020,"90,138",6.2,49,111,18,,Action,Mark Wahlberg,Peter Berg
Riders of Justice,2020,"52,408",7.5,81,116,,,Action,Mads Mikkelsen,Anders Thomas Jensen
Minari,2020,"83,192",7.4,89,115,UA,,Drama,Steven Yeun,Lee Isaac Chung
Honest Thief,2020,"51,791",6,46,99,PG-13,,Action,Liam Neeson,Mark Williams
Superintelligence,2020,"11,260",5.4,41,106,UA 13+,,Action,Melissa McCarthy,Ben Falcone
Run Hide Fight,2020,"24,664",6.3,13,109,,,Action,Isabel May,Kyle Rankin
Horizon Line,2020,"9,865",4.8,,92,PG-13,,Action,Allison Williams,Mikael Marcimain
Ammonite,2020,"19,201",6.5,72,120,R,,Biography,Kate Winslet,Francis Lee
Onward,2020,"152,042",7.4,61,102,U,$61.56 ,Animation,Tom Holland,Dan Scanlon
Hit,2020,"6,596",7.6,,125,UA,,Action,Vishwak Sen,Sailesh Kolanu
Lost Girls and Love Hotels,2020,"4,697",4.7,57,97,R,,Drama,Alexandra Daddario,William Olsson
Misbehaviour,2020,"9,230",6.3,62,106,UA,,Comedy,Keira Knightley,Philippa Lowthorpe
Project Power,2020,"90,299",6,51,113,16,,Action,Jamie Foxx,Henry Joost
Dolittle,2020,"65,807",5.6,26,101,U,$77.05 ,Adventure,Robert Downey Jr.,Stephen Gaghan
Kol,2020,"34,450",7.1,,112,16,,Crime,Park Shin-Hye,Chung-Hyun Lee
Half Brothers,2020,"3,010",6,30,96,PG-13,,Comedy,Luis Gerardo Méndez,Luke Greenfield
Borat Subsequent Moviefilm,2020,"142,707",6.6,68,95,18,,Comedy,Sacha Baron Cohen,Jason Woliner
The Tax Collector,2020,"13,974",4.8,22,95,A,,Action,Bobby Soto,David Ayer
Bloodshot,2020,"79,293",5.7,44,109,UA,$12.56 ,Action,Vin Diesel,Dave Wilson
Shiva Baby,2020,"23,044",7.1,79,77,A,,Comedy,Rachel Sennott,Emma Seligman
Demon Slayer,2020,"59,552",8.2,72,117,UA,$47.70 ,Animation,Natsuki Hanae,Haruo Sotozaki
Unhinged,2020,"70,060",6,40,90,A,,Action,Russell Crowe,Derrick Borte
Wild Mountain Thyme,2020,"10,003",5.7,42,102,PG-13,,Comedy,Emily Blunt,John Patrick Shanley
The F**k-It List,2020,"6,806",5.2,,103,,,Comedy,Eli Brown,Michael Duggan
2 Hearts,2020,"6,117",6.3,29,101,PG-13,,Drama,Jacob Elordi,Lance Hool
Hillbilly Elegy,2020,"43,122",6.7,38,116,18,,Drama,Amy Adams,Ron Howard
We Can Be Heroes,2020,"15,321",4.7,51,100,7,,Action,YaYa Gosselin,Robert Rodriguez
Antlers,2021,"39,477",5.9,57,99,A,,Drama,Keri Russell,Scott Cooper
Cruella,2021,"236,953",7.3,59,134,Not Rated,$86.10 ,Adventure,Emma Stone,Craig Gillespie
The Lost Daughter,2021,"66,452",6.7,86,121,18,,Drama,Olivia Colman,Maggie Gyllenhaal
Army of the Dead,2021,"174,589",5.7,57,148,18,$1.00 ,Action,Dave Bautista,Zack Snyder
Mad God,2021,"9,597",6.8,80,83,,,Animation,Alex Cox,Phil Tippett
Yes Day,2021,"25,794",5.7,46,86,7,,Comedy,Jennifer Garner,Miguel Arteta
The Harder They Fall,2021,"64,229",6.6,68,139,16,,Action,Jonathan Majors,Jeymes Samuel
The Green Knight,2021,"102,835",6.6,85,130,UA,,Adventure,Dev Patel,David Lowery
Army of Thieves,2021,"78,948",6.4,49,127,16,,Action,Matthias Schweighöfer,Matthias Schweighöfer
Godzilla vs. Kong,2021,"212,105",6.3,59,113,UA,$100.92 ,Action,Alexander Skarsgård,Adam Wingard
Way Down,2021,"26,624",6.4,50,118,R,,Action,Freddie Highmore,Jaume Balagueró
The Tragedy of Macbeth,2021,"35,084",7.1,87,105,A,,Drama,Denzel Washington,Joel Coen
Doraibu mai kâ,2021,"52,972",7.6,91,179,,,Drama,Hidetoshi Nishijima,Ryûsuke Hamaguchi
Mortal Kombat,2021,"175,691",6.1,44,110,A,$42.20 ,Action,Lewis Tan,Simon McQuoid
Venom: Let There Be Carnage,2021,"227,371",5.9,49,97,UA,$213.55 ,Action,Tom Hardy,Andy Serkis
Silent Night,2021,"15,123",5.7,52,92,,,Comedy,Keira Knightley,Camille Griffin
Gunpowder Milkshake,2021,"45,868",6,47,114,A,,Action,Karen Gillan,Navot Papushado
"tick, tick...BOOM!",2021,"107,689",7.5,74,120,13,,Biography,Andrew Garfield,Lin-Manuel Miranda
No Sudden Move,2021,"36,124",6.4,76,115,R,,Crime,Don Cheadle,Steven Soderbergh
Resident Evil: Welcome to Raccoon City,2021,"55,348",5.2,44,107,A,,Action,Kaya Scodelario,Johannes Roberts
Raya and the Last Dragon,2021,"154,062",7.3,74,107,U,,Animation,Kelly Marie Tran,Don Hall
Finch,2021,"84,636",6.9,57,115,UA 13+,,Adventure,Tom Hanks,Miguel Sapochnik
Red Rocket,2021,"25,528",7.2,76,130,R,,Comedy,Simon Rex,Sean Baker
King Richard,2021,"116,180",7.5,76,144,UA,,Biography,Will Smith,Reinaldo Marcus Green
Jungle Cruise,2021,"193,867",6.6,50,127,UA,$116.99 ,Action,Dwayne Johnson,Jaume Collet-Serra
Finding 'Ohana,2021,"10,529",6.1,69,123,7,,Action,Kea Peahu,Jude Weng
Benedetta,2021,"20,579",6.7,73,131,,,Biography,Virginie Efira,Paul Verhoeven
After We Fell,2021,"15,727",4.7,,98,18,,Drama,Josephine Langford,Castille Landon
Wrong Turn,2021,"32,084",5.5,46,109,A,,Horror,Charlotte Vega,Mike P. Nelson
Hitman's Wife's Bodyguard,2021,"95,027",6.1,32,100,A,,Action,Ryan Reynolds,Patrick Hughes
Luca,2021,"165,896",7.4,71,95,PG,,Animation,Jacob Tremblay,Enrico Casarosa
Stillwater,2021,"44,885",6.6,60,139,R,,Crime,Matt Damon,Tom McCarthy
The Conjuring: The Devil Made Me Do It,2021,"118,083",6.3,53,112,A,$65.63 ,Horror,Patrick Wilson,Michael Chaves
Willy's Wonderland,2021,"30,624",5.5,44,88,A,,Action,Nicolas Cage,Kevin Lewis
Titane,2021,"47,279",6.6,75,108,A,,Drama,Vincent Lindon,Julia Ducournau
Cyrano,2021,"12,061",6.4,66,123,PG-13,,Drama,Peter Dinklage,Joe Wright
The Mitchells vs the Machines,2021,"110,868",7.6,81,114,13,,Animation,Abbi Jacobson,Michael Rianda
Reminiscence,2021,"57,232",5.9,46,116,UA,,Mystery,Hugh Jackman,Lisa Joy
Spencer,2021,"69,621",6.6,76,117,UA,,Biography,Kristen Stewart,Pablo Larraín
The Tender Bar,2021,"29,203",6.7,53,106,UA 16+,,Drama,Ben Affleck,George Clooney
Ku bei,2021,"13,294",6.5,68,99,,,Horror,Berant Zhu,Rob Jabbaz
The Electrical Life of Louis Wain,2021,"15,843",6.8,63,111,PG-13,,Biography,Benedict Cumberbatch,Will Sharpe
The Forgiven,2021,"5,170",6,59,117,R,,Drama,Ralph Fiennes,John Michael McDonagh
Chaos Walking,2021,"49,921",5.7,38,109,UA,$13.29 ,Action,Tom Holland,Doug Liman
Barb and Star Go to Vista Del Mar,2021,"18,278",6.3,64,107,PG-13,,Comedy,Kristen Wiig,Josh Greenbaum
C'mon C'mon,2021,"32,169",7.4,82,109,R,,Drama,Joaquin Phoenix,Mike Mills
The Unforgivable,2021,"111,007",7.1,41,112,18,,Crime,Sandra Bullock,Nora Fingscheidt
On the Count of Three,2021,"5,334",7,74,86,R,,Comedy,Jerrod Carmichael,Jerrod Carmichael
Candyman,2021,"67,154",5.9,72,91,A,,Horror,Yahya Abdul-Mateen II,Nia DaCosta
The Dig,2021,"76,244",7.1,73,112,16,,Biography,Carey Mulligan,Simon Stone
Terrifier 2,2022,"26,596",6.2,59,138,18,,Horror,Kailey Hyman,Damien Leone
The Wonder,2022,"29,108",6.6,71,108,A,,Drama,Florence Pugh,Sebastián Lelio
Ticket to Paradise,2022,"36,641",6.2,50,104,UA,,Comedy,George Clooney,Ol Parker
Thor: Love and Thunder,2022,"335,923",6.3,57,118,UA,,Action,Chris Hemsworth,Taika Waititi
See How They Run,2022,"44,803",6.5,60,98,PG-13,,Comedy,Kieran Hodgson,Tom George
Blonde,2022,"55,361",5.5,50,167,A,,Biography,Ana de Armas,Andrew Dominik
The Gray Man,2022,"202,808",6.5,49,122,UA 16+,,Action,Ryan Gosling,Anthony Russo
"Argentina, 1985",2022,"14,150",7.7,78,140,UA 16+,,Biography,Ricardo Darín,Santiago Mitre
The Unbearable Weight of Massive Talent,2022,"92,758",7,68,107,A,,Action,Nicolas Cage,Tom Gormican
Emily the Criminal,2022,"31,065",6.7,75,97,R,,Crime,Aubrey Plaza,John Patton Ford
Emancipation,2022,"18,164",6,53,132,A,,Action,Will Smith,Antoine Fuqua
The Invitation,2022,"19,809",5.3,45,105,PG-13,,Horror,Nathalie Emmanuel,Jessica M. Thompson
Death on the Nile,2022,"152,840",6.3,52,127,UA,,Crime,Tom Bateman,Kenneth Branagh
Lady Chatterley's Lover,2022,"14,167",6.6,67,126,A,,Drama,Emma Corrin,Laure de Clermont-Tonnerre
Scream,2022,"116,915",6.3,60,114,A,,Horror,Neve Campbell,Matt Bettinelli-Olpin
The Good Nurse,2022,"56,540",6.8,65,121,UA 16+,,Biography,Eddie Redmayne,Tobias Lindholm
Weird: The Al Yankovic Story,2022,"23,912",7,70,108,,,Biography,Diedrich Bader,Eric Appel
Corsage,2022,"4,266",6.7,76,114,,,Biography,Vicky Krieps,Marie Kreutzer
Terror on the Prairie,2022,"6,117",5.3,,107,,,Drama,Gina Carano,Michael Polish
Uncharted,2022,"213,911",6.3,45,116,UA,,Action,Tom Holland,Ruben Fleischer
Crimes of the Future,2022,"30,090",5.9,67,107,R,,Drama,Viggo Mortensen,David Cronenberg
Fantastic Beasts: The Secrets of Dumbledore,2022,"143,638",6.2,47,142,UA,,Adventure,Eddie Redmayne,David Yates
Till,2022,"5,894",7.2,79,130,PG-13,,Biography,Danielle Deadwyler,Chinonye Chukwu
The Lost City,2022,"124,699",6.1,60,112,UA,,Action,Sandra Bullock,Aaron Nee
Enola Holmes 2,2022,"72,350",6.7,64,129,UA 13+,,Action,Millie Bobby Brown,Harry Bradbeer
Close,2022,"5,911",8,84,105,PG-13,,Drama,Eden Dambrine,Lukas Dhont
Prey,2022,"195,178",7.2,71,100,R,,Action,Amber Midthunder,Dan Trachtenberg
Prey for the Devil,2022,"9,135",5.2,38,93,UA 16+,,Horror,Jacqueline Byers,Daniel Stamm
The Devil Conspiracy,2022,224,4.7,37,111,R,,Horror,Alice Orr-Ewing,Nathan Frankowski
Drishyam 2,2022,"26,547",8.4,,140,UA,,Crime,Ajay Devgn,Abhishek Pathak
"Good Luck to You, Leo Grande",2022,"22,749",7.2,78,97,R,,Comedy,Emma Thompson,Sophie Hyde
Living,2022,"3,051",7.5,80,102,PG-13,,Drama,Bill Nighy,Oliver Hermanus
The Bad Guys,2022,"42,633",6.8,64,100,U,,Animation,Sam Rockwell,Pierre Perifel
Men,2022,"42,871",6.1,65,100,A,,Drama,Jessie Buckley,Alex Garland
"The Boy, the Mole, the Fox and the Horse",2022,"4,805",8.1,81,32,U,,Animation,Jude Coward Nicoll,Peter Baynton
"Bardo,False Chronicle of a Handful of Truths",2022,"8,239",6.9,53,159,A,,Comedy,Daniel Giménez Cacho,Alejandro G. Iñárritu
"Alice, Darling",2022,155,6.5,71,90,R,,Drama,Anna Kendrick,Mary Nighy
Doctor Strange in the Multiverse of Madness,2022,"419,815",6.9,60,126,UA,,Action,Benedict Cumberbatch,Sam Raimi
House of Darkness,2022,"2,377",4.7,54,88,R,,Comedy,Kate Bosworth,Neil LaBute
The Swimmers,2022,"22,140",7.4,62,134,UA 16+,,Biography,Matthias Schweighöfer,Sally El Hosaini
Speak No Evil,2022,"20,835",6.6,78,97,,,Drama,Morten Burian,Christian Tafdrup
The School for Good and Evil,2022,"27,420",5.8,30,147,UA 13+,,Action,Kit Young,Paul Feig
Wifelike,2022,"1,224",4.9,,105,R,,Sci-Fi,Jonathan Rhys Meyers,James Bird
The Stranger,2022,"16,710",6.6,74,117,,,Crime,Joel Edgerton,Thomas M. Wright
The Son,2022,"1,028",6.2,52,123,PG-13,,Drama,Vanessa Kirby,Florian Zeller
Disenchanted,2022,"19,851",5.6,50,119,UA 7+,,Animation,Amy Adams,Adam Shankman
Pinocchio,2022,"35,780",5.1,38,105,U,,Adventure,Joseph Gordon-Levitt,Robert Zemeckis
Spirited,2022,"39,242",6.6,55,127,UA 16+,,Comedy,Will Ferrell,Sean Anders
God's Crooked Lines,2022,"11,363",7,,154,UA 16+,,Drama,Bárbara Lennie,Oriol Paulo
Bodies Bodies Bodies,2022,"35,959",6.3,69,94,13,,Comedy,Amandla Stenberg,Halina Reijn
